"nazwa"	"alg"
"bm"	"l U L' U' M' U L U' L'"
"bc"	"R2 U R U R' U' R' U' R' U R'"
"bi"	"U' R' U' R U M U' R' U r U"
"bl"	"R' U R U R' U' R' U' R' U R2"
"bs"	"U L E' L' U' L E L'"
"bn"	"R U R U R' U' R' U' R' U"
"bu"	"U L' E L U' L' E' L"
"bp"	"L' U' L' U' L' U L U L U"
"bd"	"U' R E' R' U' R E R' U2"
"bj"	"r' U' M' U L' U' M U Lr"
"bz"	"U' R' E R U' R' E' R U2"
"be"	"M U2 M U' M' U2 M' U"
"bk"	"l' U L U' M U L' U' L"
"bf"	"U' L U L' U' L' U' L' U L U2"
"br"	"U L E L' U' L E' L'"
"bg"	"U2 M' U2 M' U' M U2 M U'"
"bo"	"U' M U' M' U' M U' M'"
"bh"	"U R U R' U' R' U' R' U R"
"bt"	"U' R' E' R U' R' E R U2"
"wa"	"U' M U M' U2 M U M' U"
"wm"	"L' U' L U M' U' L' U l"
"wc"	"L F' L' S' L F L' S'"
"wi"	"M U M' U2 M U M'"
"wl"	"F R U' M' U2 M U' R' F'"
"ws"	"R M U M' U2 M U M' R'"
"wn"	"R' U' r U R' U' M U R U' R' U R"
"wu"	"R' M U M' U2 M U M' R"
"wp"	"U' l U M' U2 M U l' U"
"wd"	"M U M2 U' L U M2 U' l'"
"wj"	"r U R' E R U R' E' R U2 r'"
"wz"	"r' U M2 U' L' U M2 U' rL"
"we"	"M U' M' U2 M' U2 M2 U M'"
"wk"	"x M' U' L U M U' L' U x'"
"wf"	"L F' L' S L F L' S'"
"wr"	"F L' E' L2 E L' F'"
"wg"	"x M2 U' L U M2 U' L' U x'"
"wo"	"M' U M' U M U M' U M2"
"wh"	"r U' L E' L' U L E L'r'"
"wt"	"M' U' R' U' R U R U R U' r'"
"ac"	"R2 U' S R2 S' R2 U R2"
"ai"	"U M U M' U2 M U M' U'"
"al"	"R' U' S R2 S' R2 U R"
"as"	"U L E' L' U2 L E L' U"
"an"	"R U R2 S R2 S' U' R'"
"au"	"U L' E L U2 L' E' L U"
"ap"	"U' R' E2 R U2 R' E2 R U'"
"ad"	"U' R E' R' U2 R E R' U'"
"aj"	"U' R E2 R' U2 R E2 R' U'"
"az"	"U' R' E R U2 R' E' R U'"
"ae"	"U2 M' U2 M"
"ak"	"U' M U M U2 M' U M' U"
"af"	"D U2 M' U2 M D'"
"ar"	"U L E L' U2 L E' L' U"
"ag"	"M U2 M' U2"
"ao"	"U M' U M' U2 M U M U'"
"ah"	"D' U2 M' U2 M D"
"at"	"U' R' E' R U2 R' E R U'"
"mc"	"R' U' R U M U' R' U r"
"mi"	"r U R' U' M U R U' R'"
"ml"	"U' R U M U' R' U M'"
"ms"	"M' U R U' M U R' U'"
"mn"	"U' R' U M U' R U M'"
"mu"	"M' U R' U' M U R U'"
"mp"	"U L U' M U L' U' M'"
"md"	"M' U' L U M U' L' U"
"mj"	"U L' U' M U L U' M'"
"mz"	"M' U' L' U M U' L U"
"me"	"M' U M' U M' U2 M U M U' M"
"mk"	"F E R U R' U' R U' R' F'"
"mf"	"U L2 U' M U L2 U' M'"
"mr"	"M' U' L2 U M U' L2 U"
"mg"	"U x' S R U R' S' R U' R' x U'"
"mo"	"M U' M U M U2 M' U M' U M'"
"mh"	"U' R2 U M U' R2 U M'"
"mt"	"M' U R2 U' M U R2 U'"
"cl"	"l U M' U' R U M U' R'l'"
"cs"	"U L E' L' U L E L' U2"
"cn"	"R U R U R U' R' U' R' U'"
"cu"	"U L' E L U L' E' L U2"
"cp"	"U' R' E2 R U R' E2 R"
"cd"	"U' R E' R' U R E R'"
"cj"	"U' R E2 R' U R E2 R'"
"cz"	"U' R' E R U R' E' R"
"ce"	"M U2 M U M' U2 M' U'"
"ck"	"r U' R' U M U' R U R'"
"cf"	"U' L' U' L U L U L U' L'"
"cr"	"U L E L' U L E' L' U2"
"cg"	"U2 M' U2 M' U M U2 M U"
"co"	"U M U M' U M U M'"
"ch"	"U R' U' R U R U R U' R' U2"
"ct"	"U' R' E' R U R' E R"
"il"	"F R U' M2 U R' U' M2 U F'"
"is"	"l U' M2 U R U' M2 U R'l'"
"in"	"U r' U' M' U2 M U' r U'"
"iu"	"M U' M2 U R' U' M2 U r"
"ip"	"L U' R' U' R U M U' R' U r U L'"
"id"	"l U' M' U2 M U' l'"
"ij"	"M' U R' E R U' R' E' R2r'"
"iz"	"L' M U' M' U2 M U' M' L"
"ie"	"M U M' U2 M' U2 M2 U' M'"
"ik"	"x M' U R' U' M U R U' x'"
"if"	"l' U R' E R U' R' E' Rl"
"ir"	"R' F R S2 R' F' R S2"
"ig"	"x M2 U R' U' M2 U R U' x'"
"io"	"M' U' M' U' M U' M' U' M2"
"ih"	"R' F R S' R' F' R S"
"it"	"F' R E R2 E' R F'"
"ln"	"U R' S R2 S' R' U'"
"lu"	"R U' R' E' R U R' E"
"lp"	"R U' R' E2 R U R' E2"
"ld"	"R U' R E' R' U R E R2"
"lj"	"R U' R E2 R' U R E2 R2"
"lz"	"R U' R' E R U R' E'"
"le"	"U2 M2 U R U' M2 U R' U"
"lk"	"M' U' R U M U' R' U"
